timestamp,value
2025-09-01T:00:02,4.888
2025-09-01T:00:06,4.856
2025-09-01T:00:10,4.936
2025-09-01T:00:11,4.962
2025-09-01T:00:16,5.006
2025-09-01T:00:25,4.884
2025-09-01T:00:35,5.045
2025-09-01T:00:42,4.975
2025-09-01T:00:43,5.128
2025-09-01T:00:44,5.074
2025-09-01T:00:46,5.020
2025-09-01T:00:50,4.954
2025-09-01T:00:52,4.940
2025-09-01T:00:53,4.910
2025-09-01T:00:54,4.996
,4.905
2025-09-01T:00:57,4.891
2025-09-01T:00:58,4.931
2025-09-01T:00:59,4.931
2025-09-01T:01:03,4.899
2025-09-01T:01:08,4.989
2025-09-01T:01:14,5.009
2025-09-01T:01:15,4.981
2025-09-01T:01:16,4.944
2025-09-01T:01:19,4.951
2025-09-01T:01:20,5.008
2025-09-01T:01:23,4.937
2025-09-01T:01:26,5.021
2025-09-01T:01:29,4.991
2025-09-01T:01:37,4.851
,4.999
2025-09-01T:01:39,5.000
2025-09-01T:01:42,5.094
2025-09-01T:01:43,4.966
2025-09-01T:01:46,4.964
2025-09-01T:01:49,4.989
2025-09-01T:01:50,4.955
2025-09-01T:01:54,4.947
,4.993
2025-09-01T:02:02,5.039
2025-09-01T:02:03,5.047
2025-09-01T:02:04,4.973
2025-09-01T:02:05,5.033
2025-09-01T:02:09,4.970
2025-09-01T:02:10,5.009
2025-09-01T:02:11,4.978
2025-09-01T:02:13,4.982
2025-09-01T:02:14,4.945
,5.490
2025-09-01T:02:22,5.146
2025-09-01T:02:24,4.956
2025-09-01T:02:25,5.056
2025-09-01T:02:26,5.102
2025-09-01T:02:27,5.012
2025-09-01T:02:28,4.902
2025-09-01T:02:29,5.032
2025-09-01T:02:34,4.983
2025-09-01T:02:35,4.995
2025-09-01T:02:40,5.029
2025-09-01T:02:43,4.970
,4.970
2025-09-01T:02:46,5.102
2025-09-01T:02:48,4.961
2025-09-01T:02:51,5.055
2025-09-01T:02:52,5.128
2025-09-01T:03:00,5.002
2025-09-01T:03:01,5.030
2025-09-01T:03:02,5.145
2025-09-01T:03:03,5.055
2025-09-01T:03:05,5.057
2025-09-01T:03:06,5.025
2025-09-01T:03:07,5.012
2025-09-01T:03:09,5.087
2025-09-01T:03:14,5.085
2025-09-01T:03:15,4.964
2025-09-01T:03:16,5.020
2025-09-01T:03:20,5.046
2025-09-01T:03:27,5.070
2025-09-01T:03:33,5.060
2025-09-01T:03:35,5.043
2025-09-01T:03:41,5.002
2025-09-01T:03:42,4.996
2025-09-01T:03:43,5.066
2025-09-01T:03:45,5.073
2025-09-01T:03:47,5.113
2025-09-01T:03:48,5.083
2025-09-01T:03:49,5.078
2025-09-01T:03:50,5.075
2025-09-01T:03:51,4.993
2025-09-01T:03:58,4.946
2025-09-01T:03:59,5.078
2025-09-01T:04:00,5.010
2025-09-01T:04:02,5.032
2025-09-01T:04:04,5.074
2025-09-01T:04:05,4.987
2025-09-01T:04:06,4.949
2025-09-01T:04:08,5.065
